seq	kingdom	phylum	class	order	family	genus	species
seq_14044	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Niessliaceae	NA	NA
seq_14046	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Humaria	NA
seq_14047	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	NA
seq_14048	NA	NA	NA	NA	NA	NA	NA
seq_14049	Fungi	Ascomycota	Leotiomycetes	Helotiales	Erysiphaceae	Erysiphe	Erysiphe adunca
seq_14050	Fungi	Ascomycota	Leotiomycetes	Helotiales	Discinellaceae	Naevala	NA
seq_14051	Fungi	Ascomycota	Leotiomycetes	Helotiales	Discinellaceae	Naevala	NA
seq_14052	Fungi	Ascomycota	Dothideomycetes	Dothideales	Saccotheciaceae	Kabatiella	NA
seq_14053	Fungi	Basidiomycota	Agaricomycetes	Boletales	Boletaceae	Neoboletus	Neoboletus erythropus
seq_14054	NA	NA	NA	NA	NA	NA	NA
seq_14055	NA	NA	NA	NA	NA	NA	NA
seq_14057	NA	NA	NA	NA	NA	NA	NA
seq_14058	NA	NA	NA	NA	NA	NA	NA
seq_14059	NA	NA	NA	NA	NA	NA	NA
seq_14060	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinopsis	NA
seq_14061	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Coniosporium	NA
seq_14062	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Dematioscypha	Dematioscypha dematiicola
seq_14066	Fungi	Basidiomycota	Exobasidiomycetes	Microstromatales	NA	Pseudomicrostroma	NA
seq_14069	NA	NA	NA	NA	NA	NA	NA
seq_14070	Plantae	Tracheophyta	Magnoliopsida	Boraginales	Hydrophyllaceae	Phacelia	NA
seq_14071	Fungi	Ascomycota	NA	NA	NA	NA	NA
seq_14072	NA	NA	NA	NA	NA	NA	NA
seq_14074	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Candida	NA
seq_14077	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Odontia	NA
seq_14078	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Zopfiella	NA
seq_14079	Fungi	NA	NA	NA	NA	NA	NA
seq_14080	NA	NA	NA	NA	NA	NA	NA
